year,team,hitsFor,penalityMinutesFor,standing
2021-2022,FLA,4102,1424,1
2021-2022,COL,3528,1308,2
2021-2022,CAR,3608,1320,3
2021-2022,TOR,3492,1184,4
2021-2022,MIN,3692,1584,5
2021-2022,CGY,3672,1340,6
2021-2022,NYR,4188,1250,7
2021-2022,TBL,4248,1538,8
2021-2022,STL,3312,1114,9
2021-2022,BOS,4410,1486,10
2021-2022,EDM,3706,1172,11
2021-2022,PIT,4020,1092,12
2021-2022,WSH,4136,1146,13
2021-2022,LAK,3334,1206,14
2021-2022,DAL,3700,1042,15
2021-2022,NSH,4940,1870,16
2021-2022,VGK,3360,1112,17
2021-2022,VAN,3802,1238,18
2021-2022,WPG,3842,1296,19
2021-2022,NYI,4036,1250,20
2021-2022,CBJ,3276,1190,21
2021-2022,SJS,3960,1326,22
2021-2022,ANA,3394,1390,23
2021-2022,BUF,2492,1106,24
2021-2022,DET,3198,1282,25
2021-2022,OTT,4834,1456,26
2021-2022,CHI,4046,1164,27
2021-2022,NJD,3122,1148,28
2021-2022,PHI,3678,1290,29
2021-2022,SEA,3542,1232,30
2021-2022,ARI,3694,1436,31
2021-2022,MTL,4008,1388,32
