team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WPG,2021,WPG,WPG,Team Level,other,82,0.49,0.5,0.47,10969.0,149.16,35.55,10.33,26.1,5.07,75.18,53.77,34.26,35.55,34.26,158.0,48.0,77.0,283.0,37.0,10.0,3.0,25.0,6.0,63.0,65.0,121.0,169.0,13.0,26.0,120.0,41.0,26.0,33.0,94.0,66.0,46.0,3.64,8.45,23.46,4.0,10.0,23.0,283.0,206.0,206.0,24.0,2.91,3.07,3.07,35.4,35.4,34.26,166.08,37.28,12.1,29.07,5.44,86.33,58.77,35.28,37.28,35.28,166.0,63.0,57.0,286.0,34.0,15.0,3.0,26.0,3.0,82.0,69.0,132.0,195.0,6.0,12.0,131.0,40.0,35.0,30.0,109.0,62.0,58.0,4.25,7.18,25.84,2.0,7.0,25.0,286.0,229.0,229.0,16.0,3.44,5.05,5.05,35.67,35.67,33.82
WPG,2021,WPG,WPG,Team Level,all,82,0.49,0.5,0.5,298626.0,2602.62,270.26,187.32,581.15,85.37,1459.69,1054.22,260.33,271.08,261.12,2645.0,993.0,1088.0,4726.0,250.0,202.0,32.0,589.0,72.0,1146.0,1379.0,2395.0,3388.0,288.0,648.0,2262.0,1921.0,580.0,868.0,2558.0,812.0,268.0,78.33,100.69,91.24,72.0,94.0,84.0,4757.72,3638.0,3656.33,654.0,41.37,45.81,45.86,265.76,266.55,260.59,2674.4,278.14,191.62,607.83,87.18,1475.08,1067.15,265.99,279.12,266.86,2721.0,986.0,1089.0,4796.0,253.0,226.0,44.0,540.0,74.0,1230.0,1384.0,2468.0,3454.0,297.0,677.0,2196.0,1658.0,570.0,876.0,2611.0,806.0,290.0,77.3,99.4,101.43,61.0,98.0,94.0,4795.23,3707.0,3712.63,620.0,42.5,52.47,52.78,267.86,268.57,261.25
WPG,2021,WPG,WPG,Team Level,5on5,82,0.49,0.49,0.5,243245.0,2015.8,181.06,139.08,470.27,65.84,1140.43,837.33,175.04,181.88,175.83,2047.0,787.0,869.0,3703.0,156.0,150.0,21.0,494.0,51.0,878.0,1105.0,1891.0,2678.0,250.0,568.0,1748.0,1766.0,483.0,727.0,2075.0,603.0,156.0,64.23,74.73,42.09,54.0,68.0,34.0,3734.72,2834.0,2852.33,559.0,28.82,32.05,32.09,177.78,178.56,175.57,2085.51,185.02,142.2,495.72,67.67,1146.51,851.89,178.35,186.0,179.22,2104.0,785.0,902.0,3791.0,162.0,167.0,27.0,453.0,54.0,932.0,1121.0,1942.0,2727.0,264.0,605.0,1662.0,1527.0,458.0,721.0,2095.0,625.0,169.0,61.78,77.55,45.69,53.0,73.0,36.0,3790.23,2889.0,2894.63,522.0,29.47,34.7,35.01,179.49,180.19,177.17
WPG,2021,WPG,WPG,Team Level,4on5,82,0.16,0.14,0.15,21405.0,70.41,9.29,3.93,9.15,2.12,20.31,45.19,8.94,9.29,8.94,75.0,15.0,12.0,102.0,8.0,5.0,0.0,3.0,0.0,18.0,56.0,67.0,82.0,7.0,17.0,169.0,81.0,55.0,67.0,50.0,23.0,17.0,1.77,3.0,4.52,2.0,3.0,3.0,102.0,90.0,90.0,66.0,0.9,1.35,1.35,8.84,8.84,8.77,357.49,48.85,33.56,74.29,12.03,220.63,110.64,45.46,48.85,45.46,373.0,127.0,117.0,617.0,50.0,40.0,12.0,59.0,16.0,199.0,136.0,323.0,450.0,16.0,35.0,212.0,30.0,15.0,43.0,348.0,98.0,54.0,9.42,11.82,27.61,5.0,15.0,30.0,617.0,500.0,500.0,1.0,8.74,12.09,12.09,45.51,45.51,43.11
WPG,2021,WPG,WPG,Team Level,5on4,82,0.86,0.86,0.85,23007.0,367.25,44.35,33.99,75.62,12.35,223.77,117.92,42.08,44.35,42.08,365.0,143.0,130.0,638.0,49.0,37.0,8.0,67.0,15.0,187.0,153.0,316.0,459.0,18.0,37.0,225.0,33.0,16.0,41.0,339.0,120.0,49.0,8.69,14.5,21.16,12.0,13.0,24.0,638.0,508.0,508.0,5.0,8.74,9.34,9.34,43.74,43.74,41.98,65.33,6.99,3.75,8.77,2.04,21.61,45.85,6.9,6.99,6.9,78.0,11.0,13.0,102.0,7.0,4.0,2.0,2.0,1.0,17.0,58.0,71.0,82.0,11.0,25.0,191.0,61.0,62.0,82.0,59.0,21.0,9.0,1.86,2.85,2.29,1.0,3.0,3.0,102.0,89.0,89.0,81.0,0.84,0.64,0.64,7.19,7.19,7.15
CBJ,2021,CBJ,CBJ,Team Level,other,82,0.52,0.49,0.49,10317.0,135.2,34.71,9.11,21.98,4.28,67.34,47.59,32.58,34.71,32.58,122.0,63.0,54.0,239.0,37.0,10.0,2.0,22.0,6.0,56.0,54.0,85.0,148.0,5.0,10.0,116.0,30.0,23.0,21.0,76.0,65.0,44.0,3.02,7.73,23.96,8.0,7.0,22.0,239.0,185.0,185.0,8.0,2.65,3.11,3.11,34.24,34.24,32.16,138.41,31.5,9.52,24.12,4.46,75.32,47.07,29.33,31.5,29.33,138.0,54.0,56.0,248.0,34.0,8.0,3.0,22.0,7.0,61.0,60.0,104.0,158.0,6.0,12.0,136.0,26.0,21.0,20.0,101.0,53.0,38.0,3.74,6.34,21.42,6.0,6.0,22.0,248.0,192.0,192.0,8.0,2.77,3.36,3.36,30.91,30.91,29.5
CBJ,2021,CBJ,CBJ,Team Level,all,82,0.45,0.48,0.47,298315.0,2482.55,239.75,169.04,555.48,80.28,1367.1,1028.36,231.01,240.03,231.31,2463.0,977.0,1113.0,4553.0,258.0,175.0,42.0,594.0,93.0,1008.0,1312.0,2205.0,3182.0,284.0,595.0,2257.0,1638.0,584.0,598.0,2529.0,692.0,219.0,75.67,83.32,80.77,86.0,84.0,88.0,4538.5,3440.0,3440.87,317.0,37.07,39.69,39.69,237.14,237.29,231.3,2788.82,289.9,196.96,613.53,89.25,1539.31,1112.11,276.78,292.42,279.19,2889.0,953.0,1073.0,4915.0,297.0,209.0,32.0,641.0,82.0,1169.0,1444.0,2592.0,3545.0,267.0,567.0,2397.0,1436.0,589.0,608.0,2717.0,857.0,268.0,84.14,105.77,100.0,98.0,114.0,85.0,4989.58,3842.0,3882.43,301.0,43.14,49.56,49.56,283.42,285.83,278.1
CBJ,2021,CBJ,CBJ,Team Level,5on5,82,0.45,0.48,0.47,243972.0,1962.2,163.27,129.44,458.49,63.71,1088.09,820.99,158.24,163.55,158.55,1948.0,776.0,909.0,3633.0,177.0,139.0,36.0,496.0,76.0,780.0,1056.0,1771.0,2547.0,259.0,545.0,1767.0,1526.0,495.0,523.0,2069.0,524.0,131.0,62.1,63.14,38.04,71.0,63.0,43.0,3618.5,2724.0,2724.87,300.0,26.67,31.32,31.32,158.63,158.77,156.41,2251.24,199.7,154.57,514.04,71.86,1249.02,917.86,192.71,202.21,195.12,2348.0,760.0,863.0,3971.0,214.0,163.0,23.0,544.0,61.0,955.0,1171.0,2134.0,2894.0,241.0,507.0,1833.0,1327.0,479.0,513.0,2264.0,693.0,151.0,71.56,85.53,42.61,88.0,94.0,32.0,4045.58,3108.0,3148.43,266.0,31.87,36.19,36.39,195.11,197.52,194.14
CBJ,2021,CBJ,CBJ,Team Level,4on5,82,0.14,0.18,0.21,22149.0,87.1,8.52,4.42,12.05,2.67,27.05,62.29,8.32,8.52,8.32,94.0,23.0,16.0,133.0,7.0,1.0,0.0,17.0,2.0,15.0,75.0,87.0,110.0,12.0,24.0,182.0,67.0,52.0,8.0,84.0,22.0,11.0,2.75,2.7,3.06,1.0,3.0,3.0,133.0,117.0,117.0,7.0,1.03,0.3,0.3,9.25,9.25,9.08,328.43,50.68,29.16,66.32,10.93,193.87,99.05,46.93,50.68,46.93,333.0,117.0,140.0,590.0,44.0,35.0,6.0,72.0,14.0,143.0,142.0,289.0,406.0,15.0,30.0,239.0,23.0,18.0,50.0,294.0,88.0,68.0,6.99,10.88,32.8,4.0,12.0,28.0,590.0,450.0,450.0,5.0,7.67,9.35,9.15,49.19,49.19,46.28
CBJ,2021,CBJ,CBJ,Team Level,5on4,82,0.81,0.84,0.82,21877.0,298.06,33.25,26.07,62.96,9.62,184.61,97.48,31.86,33.25,31.86,299.0,115.0,134.0,548.0,37.0,25.0,4.0,59.0,9.0,157.0,127.0,262.0,377.0,8.0,16.0,192.0,15.0,14.0,46.0,300.0,81.0,33.0,7.8,9.75,15.71,6.0,11.0,20.0,548.0,414.0,414.0,2.0,6.73,4.96,4.96,35.02,35.02,33.65,70.74,8.02,3.71,9.04,2.0,21.11,48.12,7.81,8.02,7.81,70.0,22.0,14.0,106.0,5.0,3.0,0.0,3.0,0.0,10.0,71.0,65.0,87.0,5.0,18.0,189.0,60.0,71.0,25.0,58.0,23.0,11.0,1.84,3.01,3.17,0.0,2.0,3.0,106.0,92.0,92.0,22.0,0.84,0.66,0.66,8.21,8.21,8.18
